parameter_group,parameter,unit,temperature_C,value,evidence_class,reference_code,calculation_method,note
disintegration_hydrolysis,k_hyd_pr,d^-1,25,4.8,literature_multiplier,B15; BASE35,B15 25 C multiplier x 35 C baseline,The carbohydrate-hydrolysis temperature multiplier is used as a proxy.
disintegration_hydrolysis,k_hyd_pr,d^-1,30,7.4,literature_multiplier,B15; BASE35,B15 30 C multiplier x 35 C baseline,The carbohydrate-hydrolysis temperature multiplier is used as a proxy.
disintegration_hydrolysis,k_hyd_pr,d^-1,35,10,baseline_value,BASE35,35 C model baseline,
disintegration_hydrolysis,k_hyd_pr,d^-1,40,10,geometric_interpolation,IWA02; BASE35; MODEL,"k(T)=k35*(k55/k35)^((T-35)/20), rounded to the listed precision",Transition-region interpolation; it does not explicitly model microbial acclimation.
disintegration_hydrolysis,k_hyd_pr,d^-1,45,10,geometric_interpolation,IWA02; BASE35; MODEL,"k(T)=k35*(k55/k35)^((T-35)/20), rounded to the listed precision",Transition-region interpolation; it does not explicitly model microbial acclimation.
disintegration_hydrolysis,k_hyd_pr,d^-1,50,10,geometric_interpolation,IWA02; BASE35; MODEL,"k(T)=k35*(k55/k35)^((T-35)/20), rounded to the listed precision",Transition-region interpolation; it does not explicitly model microbial acclimation.
disintegration_hydrolysis,k_hyd_pr,d^-1,55,10,literature_parameter_anchor,IWA02,55 C thermophilic anchor,Assumes a thermophilic microbial community acclimated to the operating temperature.
disintegration_hydrolysis,k_hyd_pr,d^-1,60,10,held_constant_assumption,IWA02; MODEL,55 C thermophilic value held through 60 C,A conservative plateau assumption; not a directly fitted 60 C ADM1 parameter.
disintegration_hydrolysis,k_hyd_pr,d^-1,65,8,stress_scenario_prior,A01; K22; MODEL,reaction-specific multiplier applied to the 55/60 C value,65 C multiplier = 0.80 relative to 55/60 C.
disintegration_hydrolysis,k_hyd_li,d^-1,10,1.2,literature_multiplier,L18; BASE35,L18 10 C multiplier x 35 C baseline,The carbohydrate-hydrolysis temperature multiplier is used as a proxy.
disintegration_hydrolysis,k_hyd_li,d^-1,15,1.4,literature_multiplier,L18; BASE35,L18 15 C multiplier x 35 C baseline,The carbohydrate-hydrolysis temperature multiplier is used as a proxy.
disintegration_hydrolysis,k_hyd_li,d^-1,20,2.9,literature_multiplier,L18; BASE35,L18 20 C multiplier x 35 C baseline,The carbohydrate-hydrolysis temperature multiplier is used as a proxy.
disintegration_hydrolysis,k_hyd_li,d^-1,25,4.8,literature_multiplier,B15; BASE35,B15 25 C multiplier x 35 C baseline,The carbohydrate-hydrolysis temperature multiplier is used as a proxy.
disintegration_hydrolysis,k_hyd_li,d^-1,30,7.4,literature_multiplier,B15; BASE35,B15 30 C multiplier x 35 C baseline,The carbohydrate-hydrolysis temperature multiplier is used as a proxy.
disintegration_hydrolysis,k_hyd_li,d^-1,35,10,baseline_value,BASE35,35 C model baseline,
disintegration_hydrolysis,k_hyd_li,d^-1,40,10,geometric_interpolation,IWA02; BASE35; MODEL,"k(T)=k35*(k55/k35)^((T-35)/20), rounded to the listed precision",Transition-region interpolation; it does not explicitly model microbial acclimation.
disintegration_hydrolysis,k_hyd_li,d^-1,45,10,geometric_interpolation,IWA02; BASE35; MODEL,"k(T)=k35*(k55/k35)^((T-35)/20), rounded to the listed precision",Transition-region interpolation; it does not explicitly model microbial acclimation.
disintegration_hydrolysis,k_hyd_li,d^-1,50,10,geometric_interpolation,IWA02; BASE35; MODEL,"k(T)=k35*(k55/k35)^((T-35)/20), rounded to the listed precision",Transition-region interpolation; it does not explicitly model microbial acclimation.
disintegration_hydrolysis,k_hyd_li,d^-1,55,10,literature_parameter_anchor,IWA02,55 C thermophilic anchor,Assumes a thermophilic microbial community acclimated to the operating temperature.
disintegration_hydrolysis,k_hyd_li,d^-1,60,10,held_constant_assumption,IWA02; MODEL,55 C thermophilic value held through 60 C,A conservative plateau assumption; not a directly fitted 60 C ADM1 parameter.
disintegration_hydrolysis,k_hyd_li,d^-1,65,8,stress_scenario_prior,A01; K22; MODEL,reaction-specific multiplier applied to the 55/60 C value,65 C multiplier = 0.80 relative to 55/60 C.
uptake_kinetics,k_m_su,kgCOD_S kgCOD_X^-1 d^-1,10,4.8,literature_multiplier,L18; BASE35,L18 10 C multiplier x 35 C baseline,
uptake_kinetics,k_m_su,kgCOD_S kgCOD_X^-1 d^-1,15,4.8,literature_multiplier,L18; BASE35,L18 15 C multiplier x 35 C baseline,
uptake_kinetics,k_m_su,kgCOD_S kgCOD_X^-1 d^-1,20,5.7,literature_multiplier,L18; BASE35,L18 20 C multiplier x 35 C baseline,
uptake_kinetics,k_m_su,kgCOD_S kgCOD_X^-1 d^-1,25,6.3,literature_multiplier,B15; BASE35,B15 25 C multiplier x 35 C baseline,
uptake_kinetics,k_m_su,kgCOD_S kgCOD_X^-1 d^-1,30,6.6,literature_multiplier,B15; BASE35,B15 30 C multiplier x 35 C baseline,
uptake_kinetics,k_m_su,kgCOD_S kgCOD_X^-1 d^-1,35,30,baseline_value,BASE35,35 C model baseline,
uptake_kinetics,k_m_su,kgCOD_S kgCOD_X^-1 d^-1,40,37.078,geometric_interpolation,IWA02; BASE35; MODEL,"k(T)=k35*(k55/k35)^((T-35)/20), rounded to the listed precision",Transition-region interpolation; it does not explicitly model microbial acclimation.
uptake_kinetics,k_m_su,kgCOD_S kgCOD_X^-1 d^-1,45,45.826,geometric_interpolation,IWA02; BASE35; MODEL,"k(T)=k35*(k55/k35)^((T-35)/20), rounded to the listed precision",Transition-region interpolation; it does not explicitly model microbial acclimation.
uptake_kinetics,k_m_su,kgCOD_S kgCOD_X^-1 d^-1,50,56.638,geometric_interpolation,IWA02; BASE35; MODEL,"k(T)=k35*(k55/k35)^((T-35)/20), rounded to the listed precision",Transition-region interpolation; it does not explicitly model microbial acclimation.
uptake_kinetics,k_m_su,kgCOD_S kgCOD_X^-1 d^-1,55,70,literature_parameter_anchor,IWA02,55 C thermophilic anchor,Assumes a thermophilic microbial community acclimated to the operating temperature.
uptake_kinetics,k_m_su,kgCOD_S kgCOD_X^-1 d^-1,60,70,held_constant_assumption,IWA02; MODEL,55 C thermophilic value held through 60 C,A conservative plateau assumption; not a directly fitted 60 C ADM1 parameter.
uptake_kinetics,k_m_su,kgCOD_S kgCOD_X^-1 d^-1,65,52.5,stress_scenario_prior,A01; K22; MODEL,reaction-specific multiplier applied to the 55/60 C value,65 C multiplier = 0.75 relative to 55/60 C.
uptake_kinetics,k_m_aa,kgCOD_S kgCOD_X^-1 d^-1,10,8,literature_multiplier,L18; BASE35,L18 10 C multiplier x 35 C baseline,The sugar-uptake temperature multiplier is used as a proxy.
uptake_kinetics,k_m_aa,kgCOD_S kgCOD_X^-1 d^-1,15,8,literature_multiplier,L18; BASE35,L18 15 C multiplier x 35 C baseline,The sugar-uptake temperature multiplier is used as a proxy.
uptake_kinetics,k_m_aa,kgCOD_S kgCOD_X^-1 d^-1,20,9.5,literature_multiplier,L18; BASE35,L18 20 C multiplier x 35 C baseline,The sugar-uptake temperature multiplier is used as a proxy.
uptake_kinetics,k_m_aa,kgCOD_S kgCOD_X^-1 d^-1,25,10.5,literature_multiplier,B15; BASE35,B15 25 C multiplier x 35 C baseline,The sugar-uptake temperature multiplier is used as a proxy.
uptake_kinetics,k_m_aa,kgCOD_S kgCOD_X^-1 d^-1,30,11,literature_multiplier,B15; BASE35,B15 30 C multiplier x 35 C baseline,The sugar-uptake temperature multiplier is used as a proxy.
uptake_kinetics,k_m_aa,kgCOD_S kgCOD_X^-1 d^-1,35,50,baseline_value,BASE35,35 C model baseline,
uptake_kinetics,k_m_aa,kgCOD_S kgCOD_X^-1 d^-1,40,54.388,geometric_interpolation,IWA02; BASE35; MODEL,"k(T)=k35*(k55/k35)^((T-35)/20), rounded to the listed precision",Transition-region interpolation; it does not explicitly model microbial acclimation.
uptake_kinetics,k_m_aa,kgCOD_S kgCOD_X^-1 d^-1,45,59.161,geometric_interpolation,IWA02; BASE35; MODEL,"k(T)=k35*(k55/k35)^((T-35)/20), rounded to the listed precision",Transition-region interpolation; it does not explicitly model microbial acclimation.
uptake_kinetics,k_m_aa,kgCOD_S kgCOD_X^-1 d^-1,50,64.353,geometric_interpolation,IWA02; BASE35; MODEL,"k(T)=k35*(k55/k35)^((T-35)/20), rounded to the listed precision",Transition-region interpolation; it does not explicitly model microbial acclimation.
uptake_kinetics,k_m_aa,kgCOD_S kgCOD_X^-1 d^-1,55,70,literature_parameter_anchor,IWA02,55 C thermophilic anchor,Assumes a thermophilic microbial community acclimated to the operating temperature.
uptake_kinetics,k_m_aa,kgCOD_S kgCOD_X^-1 d^-1,60,70,held_constant_assumption,IWA02; MODEL,55 C thermophilic value held through 60 C,A conservative plateau assumption; not a directly fitted 60 C ADM1 parameter.
uptake_kinetics,k_m_aa,kgCOD_S kgCOD_X^-1 d^-1,65,52.5,stress_scenario_prior,A01; K22; MODEL,reaction-specific multiplier applied to the 55/60 C value,65 C multiplier = 0.75 relative to 55/60 C.
uptake_kinetics,k_m_fa,kgCOD_S kgCOD_X^-1 d^-1,10,0.96,literature_multiplier,L18; BASE35,L18 10 C multiplier x 35 C baseline,The sugar-uptake temperature multiplier is used as a proxy.
uptake_kinetics,k_m_fa,kgCOD_S kgCOD_X^-1 d^-1,15,0.96,literature_multiplier,L18; BASE35,L18 15 C multiplier x 35 C baseline,The sugar-uptake temperature multiplier is used as a proxy.
uptake_kinetics,k_m_fa,kgCOD_S kgCOD_X^-1 d^-1,20,1.14,literature_multiplier,L18; BASE35,L18 20 C multiplier x 35 C baseline,The sugar-uptake temperature multiplier is used as a proxy.
uptake_kinetics,k_m_fa,kgCOD_S kgCOD_X^-1 d^-1,25,1.26,literature_multiplier,B15; BASE35,B15 25 C multiplier x 35 C baseline,The sugar-uptake temperature multiplier is used as a proxy.
uptake_kinetics,k_m_fa,kgCOD_S kgCOD_X^-1 d^-1,30,1.32,literature_multiplier,B15; BASE35,B15 30 C multiplier x 35 C baseline,The sugar-uptake temperature multiplier is used as a proxy.
uptake_kinetics,k_m_fa,kgCOD_S kgCOD_X^-1 d^-1,35,6,baseline_value,BASE35,35 C model baseline,
uptake_kinetics,k_m_fa,kgCOD_S kgCOD_X^-1 d^-1,40,6.817,geometric_interpolation,IWA02; BASE35; MODEL,"k(T)=k35*(k55/k35)^((T-35)/20), rounded to the listed precision",Transition-region interpolation; it does not explicitly model microbial acclimation.
uptake_kinetics,k_m_fa,kgCOD_S kgCOD_X^-1 d^-1,45,7.746,geometric_interpolation,IWA02; BASE35; MODEL,"k(T)=k35*(k55/k35)^((T-35)/20), rounded to the listed precision",Transition-region interpolation; it does not explicitly model microbial acclimation.
uptake_kinetics,k_m_fa,kgCOD_S kgCOD_X^-1 d^-1,50,8.801,geometric_interpolation,IWA02; BASE35; MODEL,"k(T)=k35*(k55/k35)^((T-35)/20), rounded to the listed precision",Transition-region interpolation; it does not explicitly model microbial acclimation.
uptake_kinetics,k_m_fa,kgCOD_S kgCOD_X^-1 d^-1,55,10,literature_parameter_anchor,IWA02,55 C thermophilic anchor,Assumes a thermophilic microbial community acclimated to the operating temperature.
uptake_kinetics,k_m_fa,kgCOD_S kgCOD_X^-1 d^-1,60,10,held_constant_assumption,IWA02; MODEL,55 C thermophilic value held through 60 C,A conservative plateau assumption; not a directly fitted 60 C ADM1 parameter.
uptake_kinetics,k_m_fa,kgCOD_S kgCOD_X^-1 d^-1,65,7.5,stress_scenario_prior,A01; K22; MODEL,reaction-specific multiplier applied to the 55/60 C value,65 C multiplier = 0.75 relative to 55/60 C.
uptake_kinetics,k_m_c4,kgCOD_S kgCOD_X^-1 d^-1,10,4,literature_multiplier,L18; BASE35,L18 10 C multiplier x 35 C baseline,
uptake_kinetics,k_m_c4,kgCOD_S kgCOD_X^-1 d^-1,15,7.2,literature_multiplier,L18; BASE35,L18 15 C multiplier x 35 C baseline,
uptake_kinetics,k_m_c4,kgCOD_S kgCOD_X^-1 d^-1,20,10,literature_multiplier,L18; BASE35,L18 20 C multiplier x 35 C baseline,
uptake_kinetics,k_m_c4,kgCOD_S kgCOD_X^-1 d^-1,25,13.4,literature_multiplier,B15; BASE35,B15 25 C multiplier x 35 C baseline,
uptake_kinetics,k_m_c4,kgCOD_S kgCOD_X^-1 d^-1,30,17.2,literature_multiplier,B15; BASE35,B15 30 C multiplier x 35 C baseline,
uptake_kinetics,k_m_c4,kgCOD_S kgCOD_X^-1 d^-1,35,20,baseline_value,BASE35,35 C model baseline,
uptake_kinetics,k_m_c4,kgCOD_S kgCOD_X^-1 d^-1,40,22.134,geometric_interpolation,IWA02; BASE35; MODEL,"k(T)=k35*(k55/k35)^((T-35)/20), rounded to the listed precision",Transition-region interpolation; it does not explicitly model microbial acclimation.
uptake_kinetics,k_m_c4,kgCOD_S kgCOD_X^-1 d^-1,45,24.495,geometric_interpolation,IWA02; BASE35; MODEL,"k(T)=k35*(k55/k35)^((T-35)/20), rounded to the listed precision",Transition-region interpolation; it does not explicitly model microbial acclimation.
uptake_kinetics,k_m_c4,kgCOD_S kgCOD_X^-1 d^-1,50,27.108,geometric_interpolation,IWA02; BASE35; MODEL,"k(T)=k35*(k55/k35)^((T-35)/20), rounded to the listed precision",Transition-region interpolation; it does not explicitly model microbial acclimation.
uptake_kinetics,k_m_c4,kgCOD_S kgCOD_X^-1 d^-1,55,30,literature_parameter_anchor,IWA02,55 C thermophilic anchor,Assumes a thermophilic microbial community acclimated to the operating temperature.
uptake_kinetics,k_m_c4,kgCOD_S kgCOD_X^-1 d^-1,60,30,held_constant_assumption,IWA02; MODEL,55 C thermophilic value held through 60 C,A conservative plateau assumption; not a directly fitted 60 C ADM1 parameter.
uptake_kinetics,k_m_c4,kgCOD_S kgCOD_X^-1 d^-1,65,22.5,stress_scenario_prior,A01; K22; MODEL,reaction-specific multiplier applied to the 55/60 C value,65 C multiplier = 0.75 relative to 55/60 C.
uptake_kinetics,k_m_pro,kgCOD_S kgCOD_X^-1 d^-1,10,1.69,literature_multiplier,L18; BASE35,L18 10 C multiplier x 35 C baseline,
uptake_kinetics,k_m_pro,kgCOD_S kgCOD_X^-1 d^-1,15,3.77,literature_multiplier,L18; BASE35,L18 15 C multiplier x 35 C baseline,
uptake_kinetics,k_m_pro,kgCOD_S kgCOD_X^-1 d^-1,20,6.24,literature_multiplier,L18; BASE35,L18 20 C multiplier x 35 C baseline,
uptake_kinetics,k_m_pro,kgCOD_S kgCOD_X^-1 d^-1,25,9.1,literature_multiplier,B15; BASE35,B15 25 C multiplier x 35 C baseline,
uptake_kinetics,k_m_pro,kgCOD_S kgCOD_X^-1 d^-1,30,11.7,literature_multiplier,B15; BASE35,B15 30 C multiplier x 35 C baseline,
uptake_kinetics,k_m_pro,kgCOD_S kgCOD_X^-1 d^-1,35,13,baseline_value,BASE35,35 C model baseline,
uptake_kinetics,k_m_pro,kgCOD_S kgCOD_X^-1 d^-1,40,14.478,geometric_interpolation,IWA02; BASE35; MODEL,"k(T)=k35*(k55/k35)^((T-35)/20), rounded to the listed precision",Transition-region interpolation; it does not explicitly model microbial acclimation.
uptake_kinetics,k_m_pro,kgCOD_S kgCOD_X^-1 d^-1,45,16.125,geometric_interpolation,IWA02; BASE35; MODEL,"k(T)=k35*(k55/k35)^((T-35)/20), rounded to the listed precision",Transition-region interpolation; it does not explicitly model microbial acclimation.
uptake_kinetics,k_m_pro,kgCOD_S kgCOD_X^-1 d^-1,50,17.958,geometric_interpolation,IWA02; BASE35; MODEL,"k(T)=k35*(k55/k35)^((T-35)/20), rounded to the listed precision",Transition-region interpolation; it does not explicitly model microbial acclimation.
uptake_kinetics,k_m_pro,kgCOD_S kgCOD_X^-1 d^-1,55,20,literature_parameter_anchor,IWA02,55 C thermophilic anchor,Assumes a thermophilic microbial community acclimated to the operating temperature.
uptake_kinetics,k_m_pro,kgCOD_S kgCOD_X^-1 d^-1,60,20,held_constant_assumption,IWA02; MODEL,55 C thermophilic value held through 60 C,A conservative plateau assumption; not a directly fitted 60 C ADM1 parameter.
uptake_kinetics,k_m_pro,kgCOD_S kgCOD_X^-1 d^-1,65,2,stress_scenario_prior,A01; K22; MODEL,reaction-specific multiplier applied to the 55/60 C value,65 C multiplier = 0.10; Ahring et al. reported nearly absent propionate activity.
uptake_kinetics,k_m_ac,kgCOD_S kgCOD_X^-1 d^-1,10,1.12,literature_multiplier,L18; BASE35,L18 10 C multiplier x 35 C baseline,
uptake_kinetics,k_m_ac,kgCOD_S kgCOD_X^-1 d^-1,15,1.6,literature_multiplier,L18; BASE35,L18 15 C multiplier x 35 C baseline,
uptake_kinetics,k_m_ac,kgCOD_S kgCOD_X^-1 d^-1,20,2.32,literature_multiplier,L18; BASE35,L18 20 C multiplier x 35 C baseline,
uptake_kinetics,k_m_ac,kgCOD_S kgCOD_X^-1 d^-1,25,3.84,literature_multiplier,B15; BASE35,B15 25 C multiplier x 35 C baseline,
uptake_kinetics,k_m_ac,kgCOD_S kgCOD_X^-1 d^-1,30,5.6,literature_multiplier,B15; BASE35,B15 30 C multiplier x 35 C baseline,
uptake_kinetics,k_m_ac,kgCOD_S kgCOD_X^-1 d^-1,35,8,baseline_value,BASE35,35 C model baseline,
uptake_kinetics,k_m_ac,kgCOD_S kgCOD_X^-1 d^-1,40,9.514,geometric_interpolation,IWA02; BASE35; MODEL,"k(T)=k35*(k55/k35)^((T-35)/20), rounded to the listed precision",Transition-region interpolation; it does not explicitly model microbial acclimation.
uptake_kinetics,k_m_ac,kgCOD_S kgCOD_X^-1 d^-1,45,11.314,geometric_interpolation,IWA02; BASE35; MODEL,"k(T)=k35*(k55/k35)^((T-35)/20), rounded to the listed precision",Transition-region interpolation; it does not explicitly model microbial acclimation.
uptake_kinetics,k_m_ac,kgCOD_S kgCOD_X^-1 d^-1,50,13.454,geometric_interpolation,IWA02; BASE35; MODEL,"k(T)=k35*(k55/k35)^((T-35)/20), rounded to the listed precision",Transition-region interpolation; it does not explicitly model microbial acclimation.
uptake_kinetics,k_m_ac,kgCOD_S kgCOD_X^-1 d^-1,55,16,literature_parameter_anchor,IWA02,55 C thermophilic anchor,Assumes a thermophilic microbial community acclimated to the operating temperature.
uptake_kinetics,k_m_ac,kgCOD_S kgCOD_X^-1 d^-1,60,16,held_constant_assumption,IWA02; MODEL,55 C thermophilic value held through 60 C,A conservative plateau assumption; not a directly fitted 60 C ADM1 parameter.
uptake_kinetics,k_m_ac,kgCOD_S kgCOD_X^-1 d^-1,65,12,stress_scenario_prior,A01; K22; MODEL,reaction-specific multiplier applied to the 55/60 C value,65 C multiplier = 0.75 relative to 55/60 C.
uptake_kinetics,k_m_h2,kgCOD_S kgCOD_X^-1 d^-1,10,4.9,literature_multiplier,L18; BASE35,L18 10 C multiplier x 35 C baseline,The acetoclastic-methanogenesis temperature multiplier is used as a proxy below 35 C.
uptake_kinetics,k_m_h2,kgCOD_S kgCOD_X^-1 d^-1,15,7,literature_multiplier,L18; BASE35,L18 15 C multiplier x 35 C baseline,The acetoclastic-methanogenesis temperature multiplier is used as a proxy below 35 C.
uptake_kinetics,k_m_h2,kgCOD_S kgCOD_X^-1 d^-1,20,10.15,literature_multiplier,L18; BASE35,L18 20 C multiplier x 35 C baseline,The acetoclastic-methanogenesis temperature multiplier is used as a proxy below 35 C.
uptake_kinetics,k_m_h2,kgCOD_S kgCOD_X^-1 d^-1,25,16.8,literature_multiplier,B15; BASE35,B15 25 C multiplier x 35 C baseline,The acetoclastic-methanogenesis temperature multiplier is used as a proxy below 35 C.
uptake_kinetics,k_m_h2,kgCOD_S kgCOD_X^-1 d^-1,30,24.5,literature_multiplier,B15; BASE35,B15 30 C multiplier x 35 C baseline,The acetoclastic-methanogenesis temperature multiplier is used as a proxy below 35 C.
uptake_kinetics,k_m_h2,kgCOD_S kgCOD_X^-1 d^-1,35,35,baseline_value,BASE35,35 C model baseline,
uptake_kinetics,k_m_h2,kgCOD_S kgCOD_X^-1 d^-1,40,35,geometric_interpolation,IWA02; BASE35; MODEL,"k(T)=k35*(k55/k35)^((T-35)/20), rounded to the listed precision",Transition-region interpolation; it does not explicitly model microbial acclimation.
uptake_kinetics,k_m_h2,kgCOD_S kgCOD_X^-1 d^-1,45,35,geometric_interpolation,IWA02; BASE35; MODEL,"k(T)=k35*(k55/k35)^((T-35)/20), rounded to the listed precision",Transition-region interpolation; it does not explicitly model microbial acclimation.
uptake_kinetics,k_m_h2,kgCOD_S kgCOD_X^-1 d^-1,50,35,geometric_interpolation,IWA02; BASE35; MODEL,"k(T)=k35*(k55/k35)^((T-35)/20), rounded to the listed precision",Transition-region interpolation; it does not explicitly model microbial acclimation.
uptake_kinetics,k_m_h2,kgCOD_S kgCOD_X^-1 d^-1,55,35,literature_parameter_anchor,IWA02,55 C thermophilic anchor,Assumes a thermophilic microbial community acclimated to the operating temperature.
uptake_kinetics,k_m_h2,kgCOD_S kgCOD_X^-1 d^-1,60,35,held_constant_assumption,IWA02; MODEL,55 C thermophilic value held through 60 C,A conservative plateau assumption; not a directly fitted 60 C ADM1 parameter.
uptake_kinetics,k_m_h2,kgCOD_S kgCOD_X^-1 d^-1,65,42,stress_scenario_prior,A01; K22; MODEL,reaction-specific multiplier applied to the 55/60 C value,"65 C multiplier = 1.20, representing hydrogenotrophic dominance as a sensitivity prior."
affinity_inhibition,K_S_IN,kgN m^-3,10,0.0001,held_constant_assumption,BASE35; MODEL,35 C baseline held below 35 C,No separate low-temperature schedule was applied to affinity/inhibition constants.
affinity_inhibition,K_S_IN,kgN m^-3,15,0.0001,held_constant_assumption,BASE35; MODEL,35 C baseline held below 35 C,No separate low-temperature schedule was applied to affinity/inhibition constants.
affinity_inhibition,K_S_IN,kgN m^-3,20,0.0001,held_constant_assumption,BASE35; MODEL,35 C baseline held below 35 C,No separate low-temperature schedule was applied to affinity/inhibition constants.
affinity_inhibition,K_S_IN,kgN m^-3,25,0.0001,held_constant_assumption,BASE35; MODEL,35 C baseline held below 35 C,No separate low-temperature schedule was applied to affinity/inhibition constants.
affinity_inhibition,K_S_IN,kgN m^-3,30,0.0001,held_constant_assumption,BASE35; MODEL,35 C baseline held below 35 C,No separate low-temperature schedule was applied to affinity/inhibition constants.
affinity_inhibition,K_S_IN,kgN m^-3,35,0.0001,baseline_value,BASE35,35 C model baseline,
affinity_inhibition,K_S_IN,kgN m^-3,40,0.0001,geometric_interpolation,IWA02; BASE35; MODEL,"Geometric interpolation between the 35 and 55 C anchors, rounded to the listed precision",Transition-region parameter; use sensitivity analysis because microbial adaptation is not explicit.
affinity_inhibition,K_S_IN,kgN m^-3,45,0.0001,geometric_interpolation,IWA02; BASE35; MODEL,"Geometric interpolation between the 35 and 55 C anchors, rounded to the listed precision",Transition-region parameter; use sensitivity analysis because microbial adaptation is not explicit.
affinity_inhibition,K_S_IN,kgN m^-3,50,0.0001,geometric_interpolation,IWA02; BASE35; MODEL,"Geometric interpolation between the 35 and 55 C anchors, rounded to the listed precision",Transition-region parameter; use sensitivity analysis because microbial adaptation is not explicit.
